24,JULIUS & CREASY                                   ,11111111       ,0, ,3,No 41                                             ,JANADHIPATHI MAWATHA                              ,COLOMOB 01                                        ,0,MR.N.PERERA                                                           ,11111111       
25,EXPRESS NEWSPAPAERS 9CEYLON) PVT LTD ( MANUAL INV),"0117322701, 700",0, ,3,"185, GRANDPASS ROAD                               ",COLOMBO 14                                        ,                                                  ,0,MS. SHARA FERNANDO                                                    ,"0117322701, 700"
26,BANK OF CEYLON                                    ,               ,0, ,3,World Trade Centre West Tower                     ,Level 01                                          ,Colombo 01                                        ,0,Card Centre Manager                                                   ,               
27,DFCC BANK PLC                                     ,11111111       ,0, ,3,No 73/5                                           ,GALLE ROAD                                        ,COLOMBO 3                                         ,0,MR. SENAKA GUNADASA                                                   ,11111111       
28,DFCC BANK                                         ,11111111       ,0, ,3,"NO73,                                             ","W.A.D RAMANAYAKE MAWATHA,                         ",COLOMBO 2                                         ,0,                                                                      ,11111111       
29,U.S.A.I.D                                         ,11111111       ,0, ,3,"NO 44,                                            ",GALLE ROAD                                        ,COLOMBO 03                                        ,0,MR.LAKMALI                                                            ,11111111       
30,MAERSK LANKA PVT LTD                              ,11111111       ,0, ,3,"Level 16, Parkland Building                       ",33 Park Street                                    ,Colombo 02                                        ,0,MS SHANKALA                                                           ,11111111       
31,I-C-A-S-L TRAINING DIVISION                       ,11111111       ,0, ,3,No 30A                                            ,MALALASEKA                                        ,COLOMBO 7                                         ,0,MRS.V DE S                                                            ,11111111       
32,IML DELIVERY SYSTEMS - INTERNAL                   ,11111111       ,0, ,3,No 209/2                                          ,UNION PLAC                                        ,COLOMBO 2                                         ,0,THE ACCOUNTANT                                                        ,11111111       
33,JOHN KEELS STOCK BROKERS O/N/S                    ,11111111       ,0, ,3,No 130                                            ,GLENNIE STREET                                    ,COLOMBO 02                                        ,0,MS.RENUKA SCOTT                                                       ,11111111       
34,DFCC MATARA                                       ,11111111       ,0, ,3,"NO 5,                                             ","HAKMANA ROAD,                                     ",MATARA                                            ,0,MR.KUMARADASA                                                         ,11111111       
35,CEYLON TOBACCO CO LTD                             ,11111111       ,0, ,3,No 108                                            ,GEORGE R DE SILVA MAWATHA                         ,COLOMBO 13                                        ,0,                                                                      ,11111111       
36,JOHN KEELS STOCK BROKERS S/DAY                    ,11111111       ,0, ,3,No 130                                            ,GLENNIE STREET                                    ,COLOMBO 2                                         ,0,MS.RENUKA                                                             ,11111111       
37,SIAM CITY CEMENT LANKA LTD                        ,11111111       ,0, ,3,"NO 413,                                           ",R A DE MEL MAWATHA                                ,COLOMBO 03                                        ,0,MR. CHAMLI / KUSAL                                                    ,11111111       
38,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNTANT                                                        ,11111111       
39,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNTANT                                                        ,11111111       
40,CROWN AGENCY GALLE                                ,11111111       ,0, ,3,No 34                                             ,TALBOT TOWN                                       ,GALLE                                             ,0,                                                                      ,11111111       
41,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNTANT                                                        ,11111111       
42,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNTANT                                                        ,11111111       
43,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNTANT                                                        ,11111111       
44,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNTANT                                                        ,11111111       
45,DAMCO LANKA (PVT) LTD                             ,11111111       ,0, ,3,"LEVEL 16, PARKLAND                                ","33, PARK STREET                                   ",COLOMBO 02                                        ,0,MS.NILANGANI                                                          ,11111111       
46,RICHARD PIERIS NATURAL FOARMS LTD                 ,11111111       ,0, ,3,EPZ                                               ,MALWANA                                           ,                                                  ,0,MR.GAMINI                                                             ,11111111       
47,PRINT CARE PLC                                    ,11111111       ,0, ,3,NO 77                                             ,NUNGAMUGODA                                       ,KELANIYA                                          ,0,MR. ANDREW                                                            ,11111111       
48,A.T.G. CEYLON (PVT) LTD                           ,11111111       ,0, ,3,"SPUR ROAD 7, PHASE II                             ",I.P.Z.                                            ,KATUNAYAKE                                        ,0,THE ACCOUNTANT                                                        ,11111111       
49,OPTIQUI SURGICALS                                 ,0777300477     ,0, ,3,NO 658/65B MAHAWILA GRADEN                        ,OFF BASE LINE ROAD                                ,COLOMBO 09                                        ,0,MR. M.R.RAWOOF                                                        ,0777300477     
50,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNtant                                                        ,11111111       
51,CEYLON CHAMBER OF COMMERCE                        ,11111111       ,0, ,3,No 50                                             ,NAVAM MAWA                                        ,COLOMBO 2                                         ,0,MR. WESLEY HATHTHOTUWA                                                ,11111111       
52,MIT CARGO (PVT) LTD                               ,11111111       ,0, ,3,NO 400                                            ,DEANS ROAD                                        ,COLOMBO 10                                        ,0,MR.SHAN                                                               ,11111111       
53,ERICSSON TELECOMMUNICATION LANKA (PVT) LTD        ,11111111       ,0, ,3,"No: 12, BLOCK D,PARKLAND                          ","NO:33,PARK STREET,                                ",COLOMBO 02.                                       ,0,Ms. Gayle De Zilwa                                                    ,11111111       
54,INSTITIUE OF CHARTERED A/C SL                     ,11111111       ,0, ,3,No 30A                                            ,MALASEKARA                                        ,COLOMBO 7                                         ,0,MR.LAKSHMA                                                            ,11111111       
55,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNTANT                                                        ,11111111       
56,PRICE WATER HOUSE COOPERS                         ,11111111       ,0, ,3,NO 100                                            ,BRAYBROOKE PLACE                                  ,COLOMBO 2                                         ,0,THE ACCOUNTANT                                                        ,11111111       
57,CENTRAL FINANCE CO LTD (S.DAY)                    ,11111111       ,0, ,3,No 270                                            ,VAUXHALL STREET                                   ,COLOMOB 02                                        ,0,MR. ANTON PERERA                                                      ,11111111       
58,SUNTEL LTD                                        ,11111111       ,0, ,3,"NO 110,                                           ","SIR JAMES PEIRIS MAWATHA,                         ",COLOMBO 2                                         ,0,                                                                      ,11111111       
59,FLOWER SONG RESTAURANT PVT LTD                    ,11111111       ,0, ,3,NO 137                                            ,KOTUGODELLA VEEDIYA                               ,KANDY                                             ,0,MR. DAVID GYI                                                         ,11111111       
60,LANKA VENTURES LTD                                ,11111111       ,0, ,3,"LEVEL 3 SAYURU SEVANA BUILDING,                   ","NO 46/12, NAWAM MAWATHA,                          ",COLOMBO 02.                                       ,0,THE ACCOUNTANT                                                        ,11111111       
61,CINNAMON LAKE SIDE                                ,11111111       ,0, ,3,NO 115                                            ,SIR CHITTAMAPALAM A GARDIN                        ,ER MAWATHA COLOMBO 02                             ,0,                                                                      ,11111111       
62,DIALOG AXIATA PLC                                 ,11111111       ,0, ,3,MARKETING CHANNEL                                 ,"475, UNION PLACE                                  ",COLOMBO 02                                        ,0,                                                                      ,11111111       
63,EQUITY INVESTMENT LANKA (PVT) LTD                 ,11111111       ,0, ,3,NO 108 A                                          ,MAYA AVENUE                                       ,COLOMBO 6                                         ,0,THE ACCOUNTANT                                                        ,11111111       
64,SUNSHINE HEALTHCARE LANKA LIMITED                 ,11111111       ,0, ,3,NO 27 4/1                                         ,YORK ARCADE BLDG.                                 ,COLOMBO 01                                        ,0,                                                                      ,11111111       
65,ESKIMO FASHION LANKA LTD                          ,11111111       ,0, ,3,BASELINE ROAD                                     ,KADIRANA                                          ,NEGOMBO                                           ,0,MR. BRIYAN                                                            ,11111111       
66,CENTRE FINANCE CO LTD SHUTTLE                     ,11111111       ,0, ,3,NO 270                                            ,VAUXHALL STREET                                   ,COLOMBO 02                                        ,0,MR.ANTON PERERA                                                       ,11111111       
67,MAHARAJA ORGANIZATION MD OFFICE                   ,11111111       ,0, ,3,NO 146                                            ,DAWSON STR                                        ,COLOMBO 2                                         ,0,MR.M.WICKR                                                            ,11111111       
68,EXEL LOGISTICS SERVICES LANKA  (PVT) LTD          ,11111111       ,0, ,3,"8TH FLOOR, SETMIL COMPLEX                         ","256, SRIMATH RAMANATHAN MW                        ",COLOMBO 15                                        ,0,MS CHARMAI                                                            ,11111111       
69,DIALOG AXIATA PLC                                 ,11111111       ,0, ,3,No 475                                            ,UNION PLACE                                       ,COLOMBO 02                                        ,0,                                                                      ,11111111       
70,CASH CUSTOMER - COLOMBO                           ,11111111       ,0, ,3,"NO 14,                                            ",DE FONSEKA ROAD                                   ,COLOMBO 05                                        ,0,                                                                      ,11111111       
71,Richard Pieris Distributors Ltd                   ,V              ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNTANT                                                        ,V              
72,Richard Pieris Distributors Ltd                   ,V              ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNTANT                                                        ,V              
73,Richard Pieris Distributors Ltd                   ,V              ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNANTANT                                                      ,V              
74,VARNERS LANKA LAW OFFICE                          ,075 378680     ,0, ,3,No 199                                            ,VAUXHALL S                                        ,COLOMBO 2                                         ,0,MR.MAHINDA                                                            ,075 378680     
75,J.L.MORISON SON & JONES CEY LD KELANIYA           ,V              ,0, ,3,DISPATCH & WAREHOUSE                              ,"NO 620, BIYAGAMA ROAD                             ",PETHIYAGODA KELANIYA                              ,0,MS. TAMARA                                                            ,V              
76,HAYLEYS ELECTRONICS LTD                           ,688965/9       ,0, ,3,No 25                                             ,FOSTER LAN                                        ,COLOMBO 10                                        ,0,MR.RUWANSINGABAHU                                                     ,688965/9       
77,COLOMBO CLUB                                      ,V              ,0, ,3,HOTEL TAJ SAMUDRA                                 ,GALLE ROAD                                        ,COLOMBO 03                                        ,0,MR.PATRIC DE SILVA                                                    ,V              
78,GAC SHIPPING                                      ,4797979        ,0, ,3,"1ST FLOOR,                                        ",NO 284 VAUXHALL STREET                            ,COLOMOB 02                                        ,0,MAZMILA HASSAN                                                        ,4797979        
79,MBC NETWORK PVT LTD                               ,075-340115-5   ,0, ,3,No 7                                              ,BRAYBROOKE                                        ,COLOMBO 2                                         ,0,MR.THUSITH                                                            ,075-340115-5   
80,CASH SALES - KANDY BRANCH                         ,V              ,0, ,3,MERCHANT TOWER BUILDING                           ,D.S. SENANAYAKE VEEDIYA                           ,KANDY                                             ,0,MR.RUKMAL ATHAUDA                                                     ,V              
81,DFCC KURUNEGALA                                   ,037-24142      ,0, ,3,NO 25                                             ,RAJAPIHILLA ROAD                                  ,KURUNEGALA                                        ,0,THE MANAGER                                                           ,037-24142      
82,I-C-A-S-L TECHNICAL DIVISION                      ,V              ,0, ,3,No 30A                                            ,MALALASEKERA  MAWATHA                             ,COLOMBO 07                                        ,0,MR.REZA                                                               ,V              
83,DIALOG AXIATA PLC                                 ,V              ,0, ,3,NO 475                                            ,UNION PLACE                                       ,COLOMBO 02                                        ,0,                                                                      ,V              
84,ARPITALIN COMPACT SOLES LTD                       ,535238/535239  ,0, ,3,"PHASE II B.P.Z, MALWANA                           ",BIYAGAMA                                          ,                                                  ,0,MR.SUNIL P                                                            ,535238/535239  
85,ZEPPELIN ADVERTISING SERVICE                      ,590958         ,0, ,3,"65/9, KIRULA ROAD                                 ",COLOMBO 5                                         ,                                                  ,0,MR.C.J.UDUMAN                                                         ,590958         
86,GAS AUTO LANKA GALLE                              ,09-23664       ,0, ,3,NO 293                                            ,MATARA ROAD                                       ,GALLE                                             ,0,MS.HILARY NANAYAKKARA                                                 ,09-23664       
87,DIALOG GSM KANDY TO CMB CBE                       ,V              ,0, ,3,No KOTUGOD                                        ,KANDY                                             ,A                                                 ,0,MR.CARMEN                                                             ,V              
88,ASSO.CHARTERED CERTIFIED A/C                      ,011242801-2    ,0, ,3,"18TH FLOOR ,                                      ","33, PARKLAND BUILDING                             ","PARTK STREET, COOMBO 03                           ",0,THE ACCOUNANT                                                         ,011242801-2    
89,AT & T GLOBAL INFORMATION                         ,421623         ,0, ,3,No 27                                             ,YORK ARCAD                                        ,COLOMBO 1                                         ,0,MS.SEVANDI                                                            ,421623         
90,GAS AUTO LANKA KANDY                              ,11111111       ,0, ,3,NO 760/A                                          ,DR. DANOSTER DE SILVA MAWAHTA                     ,COLOMBO 09                                        ,0,Ms. CHARITHA                                                          ,11111111       
91,SAMSON TRADING COMPANY LTD                        ,11111111       ,0, ,3,NO 110                                            ,KUMARAN RATNAM ROAD                               ,COLOMBO 02                                        ,0,THE ACCOUNANT                                                         ,11111111       
92,AUSTRALIAN HIGH COMMISION                         ,V              ,0, ,3,No 21                                             ,GREGORY ROAD                                      ,COLOMBO 07                                        ,0,MR.PRADEEP                                                            ,V              
93,AMERICAN CHAMBER OF COMMERCE                      ,V              ,0, ,3,VAUXHALL STREET                                   ,COLOMBO 02                                        ,                                                  ,0,MS SHIRANTHI WIJESURIYA                                               ,V              
94,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNANT                                                         ,11111111       
95,DFCC BANK                                         ,0112445911     ,0, ,3,W A D RAMANAYAKE MAWATHA                          ,COLOMBO 02                                        ,                                                  ,0,THE ACCOUNTANT                                                        ,0112445911     
96,CRESCAT RESIDENCIES                               ,11111111       ,0, ,3,NO 75                                             ,GALLE ROAD                                        ,COLOMBO 03                                        ,0,THE ACCOUNTANT                                                        ,11111111       
97,UNICEF                                            ,V              ,0, ,3,No GALLE R                                        ,A                                                 ,COLOMBO 3                                         ,0,MS.L.DE ME                                                            ,V              
98,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNTANT                                                        ,11111111       
99,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNTANT                                                        ,11111111       
100,ARPICO SHOWROOM MATTEGODA                         ,11111111       ,0, ,3,No DISTRIB                                        ,A                                                 ,MATTEGODA                                         ,0,MR.GAZALI                                                             ,11111111       
101,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNTANT                                                        ,11111111       
102,FLINTEC TRANSDUCERS PVT LTD                       ,11111111       ,0, ,3,"P.O.BOX 24,                                       ",PHASE II IPZ                                      ,KATUNAYAKE                                        ,0,MS. SUBANI                                                            ,11111111       
103,PAUL RATNAYAKE ASSOCIATES                         ,011-2688844    ,0, ,3,NO 59                                             ,GREGORY S ROAD                                    ,COLOMBO 07                                        ,0,                                                                      ,011-2688844    
104,CEDAR INTERNATIONAL (PTE) LTD                     ,11111111       ,0, ,3,"NO 108/A, 2/1,                                    ",MAYA AVENUE                                       ,COLOMBO 06                                        ,0,MR.ERIC NESAN                                                         ,11111111       
105,SINGER SERVICE SHUTTLE SVCS                       ,11111111       ,0, ,3,NO 655/12                                         ,ELVITIGALA                                        ,COLOMBO 05                                        ,0,ACCOUNTANT                                                            ,11111111       
106,BRUINS MONTESSORI INTL PVT LTD                    ,11111111       ,0, ,3,NO 449                                            ,10TH MILE                                         ,BORALESGAMUWA                                     ,0,MR.RHODE DE BRUIN                                                     ,11111111       
107,ENGINEERING CONSULTANTS LTD                       ,011-2806243    ,0, ,3,No 03                                             ,"SWARNA PLACE, NAWALA ROAD                         ",RAJAGIRIYA                                        ,0,THE ACCOUNTANT                                                        ,011-2806243    
108,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUN                                                            ,11111111       
109,MOKSHA LTD                                        ,11111111       ,0, ,3,No 275                                            ,R.A DE MEL MAWATHA                                ,COLOMOB 03                                        ,0,MR.SALMAN                                                             ,11111111       
110,OXLEY THREADS LTD                                 ,11111111       ,0, ,3,No 153                                            ,NEGOMBO ROAD                                      ,WATTALA                                           ,0,THE ACCOUNANTANT                                                      ,11111111       
111,SHORE TO SHORE (PVT) LTD                          ,11111111       ,0, ,3,No RING RO                                        ,A                                                 ,KATUNAYAKE                                        ,0,MR.GUNASEE                                                            ,11111111       
112,WENDY WHATMORE ACADEMY SLEEM                      ,011-2573912    ,0, ,3,No 05                                             ,13TH LANE                                         ,COLOMOB 03                                        ,0,MR.S.L.E.E.M.HOLSINGER                                                ,011-2573912    
113,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNTANT                                                        ,11111111       
114,SRI LANKA TENNIS ASSOCIATION                      ,11111111       ,0, ,3,COLOMBO 07                                        ,                                                  ,                                                  ,0,THE ACCOUNANT                                                         ,11111111       
115,ACTUARIAL & MANAGEMENT CONSULT                    ,11111111       ,0, ,3,No 434                                            ,R.A.DE MEL MAWATHA                                ,COLOMBO 03                                        ,0,THE ACCOUNTANT                                                        ,11111111       
116,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,                                                                      ,11111111       
117,OREL CORPORATION (PRIVATE) LIMITED                ,11111111       ,0, ,3,TRACE EXPERT CITY                                 ,MARADANA                                          ,                                                  ,0,MR PRIYASHANTHA PREMARATHNE                                           ,11111111       
118,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNANTANT                                                      ,11111111       
119,SAMSON TRADING COMPANY (Pvt) LTD                  ,11111111       ,0, ,3,No 244                                            ,D.S SENANA                                        ,KANDY                                             ,0,THE ACCOUNTANT                                                        ,11111111       
120,SINGER SERVICE CENTER - KANDY                     ,11111111       ,0, ,3,"NO 496/5, RIACHAND GARDEN                         ",PERADENIYA ROAD                                   ,KANDY                                             ,0,THE ACCOUNTANT                                                        ,11111111       
121,BAURS OPTIC                                       ,11111111       ,0, ,3,A BAUR & COM PVT LTD                              ,"NO 62,JETHAWANA RD                                ",COLOMBO 14                                        ,0, MR.LEON CHRYSHANTHA                                                  ,11111111       
122,SRI LANKA AIR LINES GALLE-CMB                     ,11111111       ,0, ,3,No 16                                             ,GAMINI MAWATHA                                    ,GALLE                                             ,0,THE ACCOUNTANT                                                        ,11111111       
123,THE KINGSBURY PLC                                 ,11111111       ,0, ,3,"48, JANADHIPATHI MAWATHA                          ",COLOMBO 01                                        ,                                                  ,0,THE ACCOUNTANT                                                        ,11111111       
124,CEYLINCO HOTELS LTD                               ,4716171        ,0, ,3,CEYLINCO SEYLAN TOWER                             ,"NO 90, GALLE ROAD                                 ",COLOMBO 03                                        ,0,MR.NISHANTHA MANASINGHE - ACCOUNTANT                                  ,4716171        
125,DFCC BANK  SAME DAY DELIVERY                      ,11111111       ,0, ,3,No 73/5                                           ,GALLE ROAD                                        ,COLOMBO 03                                        ,0,MR. SENAKA GUNADASA                                                   ,11111111       
126,DFCC BANK URGENT                                  ,11111111       ,0, ,3,No 73/5                                           ,GALLE ROAD                                        ,COLOMBO 3                                         ,0,MR.CHANAKA                                                            ,11111111       
127,DFCC BANK UTILITY                                 ,11111111       ,0, ,3,No 73/5                                           ,GALLE ROAD                                        ,COLOMBO 3                                         ,0,MR.CHANAKA                                                            ,11111111       
128,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNANTANT                                                      ,11111111       
129,REPROGRAPHICS (PVT) LTD CMB 4                     ,11111111       ,0, ,3,NO 70                                             ,"LICKY PLAZA, SECOND FLOOR                         ",COLOMBO 03                                        ,0,MRS GANGA                                                             ,11111111       
130,MAHARAJA ENTERTAINMENT PVT LTD                    ,11111111       ,0, ,3,NO 330                                            ,T B JAYA MW                                       ,COLOMBO 10                                        ,0,MS. SIVANI                                                            ,11111111       
131,DIALOG AXIATA PLC                                 ,11111111       ,0, ,3,CUSTOMER SERVICE                                  ,NO 475 UNION PLACE                                ,COLOMBO 02                                        ,0,                                                                      ,11111111       
132,DIALOG GSM KALUTARA BRANCH                        ,11111111       ,0, ,3,No 189/B                                          ,GALLE ROAD                                        ,KALUTARA                                          ,0,MR.SRIYANT                                                            ,11111111       
133,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,THE ACCOUNTANT                                                        ,11111111       
134,"DIALOG AXIATA PLC, KEY CLIENT RELATION            ",11111111       ,0, ,3,"No 475,                                           ",UNION PLACE                                       ,COLOMBO 02                                        ,0,MS.HASLIYA HANFAL                                                     ,11111111       
135,Penguin Sportware  (Pvt) Ltd                      ,11111111       ,0, ,3, Palletalawinna                                   ,Katugastota                                       ,                                                  ,0,Ms. Shiwanthi                                                         ,11111111       
136,HAYLEYS PHOTOPRINT LIMITED                        ,11111111       ,0, ,3,No 25                                             ,FOSTER LAN                                        ,COLOMBO 10                                        ,0,MR.JUDE SI                                                            ,11111111       
137,CENTRE FOR POLICY ALTERNATIVES                    ,11111111       ,0, ,3,No 32/3                                           ,FLOWER ROAD                                       ,COLOMBO 07                                        ,0,THE ACCOUNTANT                                                        ,11111111       
138,ACUITY STOCKBROKERS (PVT) LTD                     ,2206070        ,0, ,3,"ACUITY HOUSE, LEVEL 06                            ","NO 53, DHARMAPALA MAWATHA                         ",COLOMBO 03                                        ,0,Mr. Sanjeewa Ekanayaka                                                ,2206070        
139,SENOK TRADE COMBINE (PRIVATE) LTD                 ,11111111       ,0, ,3,NO 3                                              ,R.A. DE MEL MAWATHA                               ,COLOMBO 05                                        ,0,MS.SHALINI                                                            ,11111111       
140,AITKEN SPENCE AVIATION (PVT) LIMITED              ,11111111       ,0, ,3,"NO 315,                                           ",VAUXHALL STREET                                   ,COLOMBO 02                                        ,0,THE FINANCE MANAGER                                                   ,11111111       
141,CASH SALES - KATUNAYAKE BRANCH                    ,11111111       ,0, ,3,HOTEL GOOD WOOD PLAZA                             ,KATUNAYAKE                                        ,                                                  ,0,                                                                      ,11111111       
142,RICHARD PIERIS Export LTD                         ,11111111       ,0, ,3,No 10                                             ,"Raja Mawatha, Ekala                               ",Ja - Ela                                          ,0,THE ACCOUNTANT                                                        ,11111111       
143,ICLP ARBITRATION CENTRE                           ,11111111       ,0, ,3,"NO 53/1,                                          ",Ananda Coomaraswamy Mawatha                       ,COLOMBO 03                                        ,0,MS.NILAKSHI                                                           ,11111111       
144,RABEENA FOOD PVT LTD                              ,011-2448613    ,0, ,3,No 90                                             ,RECLAMATION ROAD                                  ,COLOMBO 11                                        ,0,THE ACCOUNTANT                                                        ,011-2448613    
145,IML DELIVERY SYSTEM KURUNEGALA BRANCH             ,11111111       ,0, ,3,KURUNEGALA ROAD                                   ,KURUNEGALA                                        ,                                                  ,0,MR.KAPILA                                                             ,11111111       
146,ASSOCIATED MOTORWAYS (pvt) Ltd                    ,11111111       ,0, ,3,"NO 445,                                           ",BAUDDHALOKA MAWATHA                               ,COLOMBO 08                                        ,0,THE MANAGER                                                           ,11111111       
147,CHARTERED INSTITIUE MARK CMB 3                    ,11111111       ,0, ,3,No 12                                             ,PEDRIS ROA                                        ,COLOMBO 3                                         ,0,MRS.SENEVI                                                            ,11111111       
148,AMERICAN EDUCATION CENTER LTD                     ,11111111       ,0, ,3,No 308-310                                        ,"R.A DE MEL MAWATHA, GALLE ROAD (A/W)              ",COLOMBO 03                                        ,0,YOVANKA DASSANAYAKE                                                   ,11111111       
149,NATIONAL CHAMBER OF COMM SL                       ,2689600        ,0, ,3,1ST FLOOR                                         ,"NO 450, D.R WIJEWARDENA MW                        ",COLOMBO 10                                        ,0,MS. KAMANI                                                            ,2689600        
150,ANJELO ENTERPRISE (N/O)                           ,11111111       ,0, ,3,"NO 120,                                           ",DALUPOTHA                                         ,NEGOMBO                                           ,0,                                                                      ,11111111       
151,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,MR.NALAKA                                                             ,11111111       
152,MEDi LINE NEGAMBO (M.S)                           ,11111111       ,0, ,3,No 102 A                                          ,CHILAW ROAD                                       ,NEGAMBO                                           ,0,MR.M.SELVARAJA                                                        ,11111111       
153,ANSELL LANKA PVT LTD BIYAGAMA                     ,11111111       ,0, ,3,BEPZ                                              ,BIYAGAMA                                          ,                                                  ,0,MR. MANOJ HULANGAMUWA                                                 ,11111111       
